    0    0        0.0000000000    0  
    1    1        109678.77370    2  
    2    1        198310.77227    1  
    2    2        438908.88630    2  
    3    1         43487.15000    2  
    3    2        610079.00000    1  
    3    3        987661.02700    2  
    4    1         75192.64000    1  
    4    2        146882.86000    2  
    4    3       1241242.00000    1  
    4    4       1756018.82400    2  
    5    1         66928.10000    6  
    5    2        202887.40000    1  
    5    3        305931.10000    2  
    5    4       2092001.40000    1  
    5    5       2744107.87000    2  
    6    1         90820.42000    9  
    6    2        196664.70000    6  
    6    3        386241.00000    1  
    6    4        520178.40000    2  
    6    5       3162395.00000    1  
    6    6       3952061.52000    2  
    7    1        117225.40000    4  
    7    2        238750.50000    9  
    7    3        382703.80000    6  
    7    4        624866.00000    1  
    7    5        789537.20000    2  
    7    6       4452745.00000    1  
    7    7       5380089.30000    2  
    8    1        109837.02000    9  
    8    2        283240.00000    4  
    8    3        443086.00000    9  
    8    4        624383.80000    6  
    8    5        918657.00000    1  
    8    6       1114008.00000    2  
    8    7       5963114.00000    1  
    8    8       7028393.60000    2  
    9    1        140524.50000    6  
    9    2        282058.60000    9  
    9    3        505777.00000    4  
    9    4        702830.00000    9  
    9    5        921430.00000    6  
    9    6       1267606.00000    1  
    9    7       1493632.00000    2  
    9    8       7693778.00000    1  
    9    9       8897240.30000    2  
   10    1        173929.70000    1  
   10    2        330391.00000    6  
   10    3        511800.00000    9  
   10    4        783300.00000    4  
   10    5       1018000.00000    9  
   10    6       1273800.00000    6  
   10    7       1671792.00000    1  
   10    8       1928462.00000    2  
   10    9       9644957.00000    1  
   10   10      10986873.00000    2  
   11    1         41449.44000    2  
   11    2        381390.20000    1  
   11    3        577654.00000    6  
   11    4        797800.00000    9  
   11    5       1116300.00000    4  
   11    6       1388750.00000    9  
   11    7       1681700.00000    6  
   11    8       2131300.00000    1  
   11    9       2418570.00000    2  
   11   10      11816996.00000    1  
   11   11      13297671.60000    2  
   12    1         61671.02000    1  
   12    2        121267.61000    2  
   12    3        646402.00000    1  
   12    4        881285.00000    6  
   12    5       1139420.00000    9  
   12    6       1506300.00000    4  
   12    7       1814900.00000    9  
   12    8       2145100.00000    6  
   12    9       2644700.00000    1  
   12   10       2964060.00000    2  
   12   11      14209908.00000    1  
   12   12      15829955.00000    2  
   13    1         48278.37000    6  
   13    2        151862.70000    1  
   13    3        229445.70000    2  
   13    4        967804.00000    1  
   13    5       1240684.00000    6  
   13    6       1536300.00000    9  
   13    7       1949900.00000    4  
   13    8       2295900.00000    9  
   13    9       2662650.00000    6  
   13   10       3216100.00000    1  
   13   11       3564960.00000    2  
   13   12      16824529.00000    1  
   13   13      18584144.00000    2  
   14    1         65747.76000    9  
   14    2        131838.14000    6  
   14    3        270139.30000    1  
   14    4        364093.10000    2  
   14    5       1345070.00000    1  
   14    6       1655590.00000    6  
   14    7       1988000.00000    9  
   14    8       2448200.00000    4  
   14    9       2832000.00000    9  
   14   10       3237300.00000    6  
   14   11       3842100.00000    1  
   14   12       4221670.00000    2  
   14   13      19660800.00000    1  
   14   14      21560658.00000    2  
